的	白 	de dí dì					
洁	水 	jí jié					
庳	广 	bēi bĭ					
馗	首 	kuí qiú					
絣	糸 	bīng bēng					
潀	水 	cóng					
斲	斤 	zhuó					
貘	豸 	mò					
氖	气 	năi					
狎	犬 	xiá					
肴	肉 	yáo					
痂	疒 	jiā					
铣	金 	xiăn xĭ					
銑	金 	xiăn xĭ xiān					
褫	衣 	chĭ					
锹	金 	qiāo					
鍬	金 	qiāo					
咂	口 	zā					
掞	手 	shàn yàn					
摠	手 	zŏng zōng					
盦	皿 	ān					
鋹	金 	chăng					
鸱	鳥 	zhī					
鴟	鳥 	zhī chī					
颧	頁 	quán					
顴	頁 	quán					
叵	口 	pŏ					
篁	竹 	huáng					
嬝	女 	niăo					
贍	貝 	shàn dàn					
赡	貝 	shàn dàn					
窆	穴 	biăn					
跫	足 	qióng qiōng qiāng					
獪	犬 	kuài huá					
狯	犬 	huá kuài					
鳟	魚 	zùn zūn					
鱒	魚 	zùn zūn					
伉	人 	kàng					
郃	邑 	gé hé					
涇	水 	jīng qĭng					
泾	水 	jīng					
盍	皿 	hé kĕ					
钹	金 	bá bó					
鈸	金 	bá bó					
旖	方 	yĭ					
璘	玉 	lín					
瞟	目 	piăo piào piāo					
縝	糸 	zhēn zhĕn chēn					
缜	糸 	zhēn zhĕn					
饜	食 	yàn					
餍	食 	yàn					
扦	手 	qiān					
悒	心 	yì					
揃	手 	jiān jiăn					
稗	禾 	bài					
触	角 	hóng chù					
璊	玉 	mán mén					
鍺	金 	duŏ zhĕ dŭ					
锗	金 	duŏ zhĕ					
蹇	足 	jiăn qiān					
蹩	足 	bié					
饌	食 	zhuàn xuăn					
馔	食 	zhuàn xuăn					
佻	人 	tiāo					
泅	水 	qiú yōu					
盂	皿 	yú					
浥	水 	yì yà					
赧	赤 	năn					
萸	艸 	yú					
睢	目 	suī					
稞	禾 	kē huà					
潼	水 	tóng chōng zhōng					
螟	虫 	míng					
夔	夊 	kuí					
怜	心 	lián					
邯	邑 	hán hàn					
苻	艸 	fú pú					
雰	雨 	fēn					
祼	示 	guàn					
餬	食 	hú					
燹	火 	xiăn bìng					
榉	木 	jŭ					
櫸	木 	jŭ					
怏	心 	yàng					
枴	木 	guăi					
柞	木 	zuò zé zhà					
洮	水 	tāo táo yáo dào					
匐	勹 	fú					
堊	土 	è					
垩	土 	è					
饬	食 	chì					
飭	食 	chì shì					
瘧	疒 	nܥ4 yào					
疟	疒 	nܥ4 yào					
燧	火 	suì					
牍	片 	dú					
牘	片 	dú					
霰	雨 	xiàn					
芃	艸 	péng					
妺	女 	mò					
怍	心 	zuò					
芫	艸 	yuán yán					
痒	疒 	yăng yáng					
鍇	金 	kăi jiē jiĕ					
锴	金 	kăi jiē					
枥	木 	lì					
櫪	木 	lì					
蚩	虫 	chī					
戢	戈 	jí					
赅	貝 	gāi					
賅	貝 	gāi					
榫	木 	sŭn					
薨	艸 	hōng					
锲	金 	qiè					
鍥	金 	qiè					
欤	欠 	yú					
歟	欠 	yú					
魍	鬼 	wăng					
网	网 	wăng					
喎	口 	wāi					
嶂	山 	zhàng					
噌	口 	chēng cēng					
澔	水 	hào					
諴	言 	xián					
襁	衣 	jiăng qiăng					
茔	艸 	yíng					
塋	土 	yíng					
痱	疒 	fèi féi fĕi					
儈	人 	kuài					
侩	人 	kuài					
瘸	疒 	qué					
蕈	艸 	xùn tán					
櫛	木 	jié zhì					
栉	木 	jié zhì					
璦	玉 	ài					
瑷	玉 	ài					
穠	禾 	nóng					
鏜	金 	tāng táng					
镗	金 	tāng					
矓	目 	lóng					
衢	行 	qú					
卲	卩 	shào					
迣	辵 	zhì chì lì					
揠	手 	yà					
琰	玉 	yăn					
綃	糸 	xiāo shāo					
绡	糸 	xiāo					
鉞	金 	yuè huì					
钺	金 	yuè huì					
鹘	鳥 	gú hú					
鶻	鳥 	gú gŭ hú					
杠	木 	gāng gàng					
洌	水 	liè					
踟	足 	chí					
燐	火 	lín					
磬	石 	qìng qĭng					
薜	艸 	bì bò bó bài pì					
蠡	虫 	lĭ lí luó luŏ lì					
麝	鹿 	shè					
堎	土 	lèng					
菾	艸 	tián					
軫	車 	zhĕn					
轸	車 	zhĕn					
瑢	玉 	róng					
踊	足 	yŏng					
劢	力 	38108					
勱	力 	38108					
雠	隹 	chóu					
讎	言 	chóu					
轳	車 	lú					
轤	車 	lú					
灠	水 	lăn					
褂	衣 	guà					
蕞	艸 	zuì jué zhuó					
蓟	艸 	jì					
薊	艸 	jì					
醴	酉 	lĭ					
炅	火 	jiŏng gĕng guì					
俛	人 	fŭ miăn					
婕	女 	jié					
屙	尸 	ē					
庹	广 	tuŏ					
琲	玉 	bèi					
遄	辵 	chuán					
嫚	女 	màn					
摰	手 	niè					
憸	心 	xiān					
擗	手 	pì pĭ					
圬	土 	wū					
苣	艸 	jù qŭ					
酊	酉 	dĭng dīng					
舐	舌 	shì					
綰	糸 	wăn					
绾	糸 	wăn					
瀋	水 	shĕn chèn pán					
囀	口 	zhuàn					
啭	口 	zhuàn					
殄	歹 	tiăn					
琁	玉 	xuan xuán					
逋	辵 	bū					
棓	木 	pŏu bàng bèi					
棱	木 	léng lēng líng lèng					
噘	口 	juē					
篳	竹 	bì					
筚	竹 	bì					
囫	囗 	hú					
抿	手 	mĭn					
疥	疒 	jiè					
粕	米 	pò					
筧	竹 	jiăn jiàn					
笕	竹 	jiăn					
犖	牛 	luò					
荦	艸 	luò					
獐	犬 	zhāng					
锱	金 	zī					
錙	金 	zī					
捋	手 	lè lyu luō					
蛘	虫 	yáng yăng					
暋	日 	mĭn mín					
諡	言 	shì					
薾	艸 	ĕr					
鶚	鳥 	è					
鹗	鳥 	è					
俳	人 	pái					
梔	木 	zhī					
涮	水 	shuàn shuā					
酩	酉 	míng mĭng					
缦	糸 	màn					
縵	糸 	màn					
鲳	魚 	chāng					
鯧	魚 	chāng					
轡	車 	pèi					
辔	車 	pèi					
忮	心 	zhì					
囹	囗 	líng					
虯	虫 	qiú					
咾	口 	lăo					
衁	血 	huāng					
浼	水 	mĕi					
茬	艸 	chí chá					
椄	木 	jiē					
琤	玉 	chēng					
搐	手 	chù chōu					
絻	糸 	miăn wèn					
窳	穴 	yŭ yú					
醍	酉 	tí tĭ					
闃	門 	qù					
阒	門 	qù					
漓	水 	lí					
灕	水 	lí					
躝	足 	lán					
纫	糸 	rèn					
紉	糸 	rèn					
挈	手 	qiè qì					
砟	石 	zhà zhă zuò zuó					
胴	肉 	dòng					
诂	言 	gŭ					
詁	言 	gŭ					
僭	人 	jiàn					
碣	石 	jié kè yà					
遘	辵 	gòu					
畿	田 	jī					
铙	金 	náo					
鐃	金 	náo nào					
芡	艸 	qiàn					
剉	刀 	cuò					
嵎	山 	yú					
嫄	女 	yuán					
溟	水 	míng mĭng mì					
鞞	革 	bĭng bĭ pí					
醯	酉 	xī					
镣	金 	liáo liào					
鐐	金 	liáo liào					
纛	糸 	dào dú					
斫	斤 	zhuó					
苜	艸 	mù					
桅	木 	wéi					
砭	石 	biān					
訌	言 	hóng hòng					
讧	言 	hóng hòng					
笞	竹 	chī					
鈽	金 	bù bū					
钸	金 	bù					
奭	大 	shì					
赓	貝 	gēng					
賡	貝 	gēng					
缢	糸 	yì					
縊	糸 	yì					
鄴	邑 	yè					
邺	邑 	yè					
壙	土 	kuàng					
圹	土 	kuàng					
柸	木 	pēi					
枵	木 	xiāo					
圇	囗 	lún					
囵	囗 	lún					
菘	艸 	sōng					
嫋	女 	niăo					
煲	火 	bào bāo					
煐	火 	yīng					
睒	目 	shăn					
莳	艸 	shí shì					
蒔	艸 	shí shì					
郸	邑 	dān					
鄲	邑 	dān duō					
薙	艸 	tì					
鍠	金 	huáng					
鶡	鳥 	hé jiè					
仳	人 	pĭ pí					
牝	牛 	pìn					
卹	卩 	xù					
氤	气 	yīn yán					
匏	勹 	páo					
堰	土 	yàn					
闳	門 	hóng					
閎	門 	hóng					
炀	火 	yáng yàng					
煬	火 	yáng yàng					
娆	女 	răo ráo					
嬈	女 	răo ráo					
缙	糸 	jìn					
縉	糸 	jìn					
鷂	鳥 	yào yáo					
鹞	鳥 	yào yáo					
蘸	艸 	zhàn					
妗	女 	jìn					
沏	水 	qiē qī qiè					
玓	玉 	dì					
坯	土 	pī					
苺	艸 	méi mèi					
栴	木 	zhān					
烔	火 	tóng					
蚋	虫 	ruì					
畯	田 	38139					
讵	言 	jù					
詎	言 	jù					
嫈	女 	yīng					
廕	广 	yīn yìn					
漼	水 	cuĭ					
璆	玉 	qiú					
曛	日 	xūn					
顗	頁 	yĭ					
鸫	鳥 	dōng					
鶇	鳥 	dōng					
鶖	鳥 	qiū					
讌	言 	yàn					
灩	水 	yàn					
怩	心 	ní					
禺	禸 	yú ŏu yù					
茆	艸 	măo máo					
剜	刀 	wān					
戛	戈 	jiá					
桡	木 	náo ráo					
橈	木 	náo ráo					
逦	辵 	lĭ					
邐	辵 	lĭ					
优	人 	yōu					
冱	冫 	hù					
泫	水 	xuàn xuán juān					
怹	心 	tān					
苾	艸 	bì					
苡	艸 	yĭ sì					
砢	石 	luŏ kē					
祜	示 	hù					
痼	疒 	gū gù					
誒	言 	è āi ēi éi ĕi èi xī yì					
诶	言 	āi ēi éi ĕi èi xī					
諢	言 	hùn					
诨	言 	hùn					
擣	手 	dăo					
闓	門 	kăi kāi					
韙	韋 	wĕi					
韪	韋 	wĕi					
蠓	虫 	mĕng					
臠	肉 	luán					
脔	肉 	luán jī					
胰	肉 	yí					
塽	土 	shuăng					
篙	竹 	gāo					
闱	門 	wéi					
闈	門 	wéi					
櫺	木 	líng					
藓	艸 	xiăn					
蘚	艸 	xiăn					
豸	豸 	zhì					
芼	艸 	mào máo					
倢	人 	jié					
砵	石 	bō					
悾	心 	kōng					
珽	玉 	tĭng					
傒	人 	xī xí xì					
棑	木 	pái bài					
寘	宀 	zhì					
楂	木 	zhā chá chā					
稙	禾 	zhí					
懃	心 	qín					
謖	言 	sù					
谡	言 	sù					
嚙	口 	niè					
啮	口 	niè					
櫫	木 	zhū					
汛	水 	xùn					
妣	女 	bĭ					
峒	山 	tóng dòng					
圄	囗 	yŭ					
漯	水 	lĕi luò tà					
擭	手 	hù huò					
燮	火 	xiè					
聱	耳 	áo yóu					
癘	疒 	lì					
疠	疒 	lì					
黷	黑 	dú					
黩	黑 	dú					
姽	女 	guĭ					
彘	彐 	zhì					
萁	艸 	qí jī					
亄	乙 	yì					
獞	犬 	tóng					
鴽	鳥 	rú					
鐿	金 	yì					
镱	金 	yì					
鶼	鳥 	jiān qiān					
鹣	鳥 	jiān					
枓	木 	dŏu zhŭ					
琺	玉 	fà					
稈	禾 	găn					
椟	木 	dú					
櫝	木 	dú					
襖	衣 	ăo					
袄	衣 	ăo					
鐫	金 	juān					
孿	子 	luán					
孪	子 	luán					
吨	口 	dūn					
枳	木 	zhī zhí zhĭ					
秏	禾 	hào					
狺	犬 	yín					
婐	女 	ē wŏ					
掮	手 	qián					
莪	艸 	é					
渼	水 	mĕi					
楙	木 	mào					
谔	言 	è					
諤	言 	è					
懮	心 	yŏu yōu					
艟	舟 	tóng chōng zhuàng					
龛	龍 	kān					
龕	龍 	kān kè					
尢	尢 	wāng yóu					
佾	人 	yì					
傚	人 	xiào					
孱	子 	chán càn					
隄	阜 	tí dī					
楛	木 	hù kŭ					
痿	疒 	wĕi					
嚅	口 	rú					
谿	谷 	xī qī					
繒	糸 	zēng céng zèng					
缯	糸 	zēng céng					
巟	巛 	huāng					
阨	阜 	è ài					
俓	人 	jìng					
茦	艸 	cè					
娸	女 	qī					
痐	疒 	huí					
紺	糸 	gàn					
绀	糸 	gàn					
焱	火 	yàn biāo yì					
猢	犬 	hú					
廋	广 	sōu					
椳	木 	wēi					
靸	革 	să tā					
僯	人 	lĭn					
瘜	疒 	xí					
蝮	虫 	fù					
歕	欠 	pèn pēn					
鵂	鳥 	xiū					
鸺	鳥 	xiū					
骓	馬 	zhuī					
騅	馬 	zhuī					
驒	馬 	tuó					
祆	示 	xiān yāo					
菟	艸 	tù tú					
暍	日 	hè yē					
痳	疒 	lín					
摭	手 	zhí tuò					
膂	肉 	lܳ					
诰	言 	gào					
誥	言 	gào					
遛	辵 	liú liù					
歙	欠 	xì shè xié xī					
壎	土 	xūn xuān					
醱	酉 	pò pō					
羼	羊 	chàn					
俅	人 	qiú					
挎	手 	kū kōu kuà					
唪	口 	fĕng bĕng					
珺	玉 	38139					
訧	言 	yóu					
蛺	虫 	jiá					
蛱	虫 	jiá					
蕓	艸 	yún					
芸	艸 	yún yì yùn					
魈	鬼 	xiāo					
懰	心 	liú					
祢	示 	mí nĭ					
禰	示 	nĭ mí xiăn					
翾	羽 	xuān					
舋	臼 	xìn wèn					
廾	廾 	gòng niàn					
汴	水 	biàn					
皴	皮 	cūn					
嶔	山 	qīn					
撚	手 	niăn					
嬪	女 	pín					
嫔	女 	pín					
痨	疒 	láo					
癆	疒 	láo lào					
黜	黑 	chù					
孀	女 	shuāng					
罂	缶 	yīng					
罌	缶 	yīng					
襬	衣 	băi					
囗	囗 	wéi					
佸	人 	huó					
柷	木 	zhù					
炷	火 	zhù					
郜	邑 	gào					
眥	目 	zì					
摡	手 	gài xì					
搕	手 	kè					
諗	言 	shĕn niè					
谂	言 	shĕn					
嬛	女 	huán qióng yuān					
旛	方 	fān					
襌	衣 	dān					
鐙	金 	dēng dèng					
镫	金 	dēng dèng					
鲽	魚 	dié					
鰈	魚 	dié qiè zhá					
鷦	鳥 	jiāo					
鹪	鳥 	jiāo					
圯	土 	yí					
舛	舛 	chuăn					
柩	木 	jiù					
耄	老 	mào					
莆	艸 	fŭ pú					
鍔	金 	è					
锷	金 	è					
齜	齒 	zī chái					
龇	齒 	zī					
髖	骨 	kuān					
髋	骨 	kuān					
佷	人 	hĕn					
侗	人 	tóng tŏng dòng					
怞	心 	chōu yóu					
矸	石 	gān gàn					
尃	寸 	fū					
啍	口 	tūn					
搰	手 	hú gŭ					
溏	水 	táng					
羟	羊 	qiān qiăng					
羥	羊 	qiān qiăng					
趒	走 	tiáo					
蜚	虫 	fēi fĕi pèi bèi					
醐	酉 	hú					
璫	玉 	dāng					
隰	阜 	xí xiè					
蕲	艸 	qí					
蘄	艸 	qí jī qín					
罍	缶 	léi					
舂	臼 	chōng chuāng zhōng					
楮	木 	chŭ zhū					
逶	辵 	wēi					
墀	土 	chí					
頫	頁 	fŭ tiào					
燜	火 	mèn					
焖	火 	mèn					
縐	糸 	zhòu chào cù zhōu					
绉	糸 	zhòu					
燠	火 	yù ào					
毂	殳 	gŭ					
轂	車 	gŭ gū					
杇	木 	wū					
呴	口 	xū hŏu hōu					
峇	山 	kē bā					
旆	方 	pèi					
祛	示 	qū					
茷	艸 	fá fèi					
唵	口 	ăn					
砦	石 	zhài					
笥	竹 	sì					
歆	欠 	xīn					
漭	水 	măng					
炝	火 	qiàng					
熗	火 	qiàng					
撅	手 	juē jué guì					
殚	歹 	dān					
殫	歹 	dān					
縠	糸 	hú					
黿	黽 	yuán					
鼋	黽 	yuán					
疖	疒 	jié					
癤	疒 	jié					
鎌	金 	lián					
藜	艸 	lí					
鶹	鳥 	liú					
籙	竹 	lù					
靉	雨 	ài					
刖	刀 	yuè					
妊	女 	rèn					
杲	木 	găo					
崆	山 	kōng					
勗	力 	xù					
塭	土 	wēn					
滓	水 	zĭ					
瑁	玉 	mào mèi					
絛	糸 	tāo					
氳	气 	yūn					
檗	木 	bò bì					
蟈	虫 	guō yù					
蝈	虫 	guō					
扱	手 	xī chā					
汩	水 	yù gŭ hú					
芨	艸 	jí jī					
芔	艸 	huĭ huì					
衩	衣 	chà chă					
旃	方 	zhān					
陜	阜 	xiá					
挲	手 	suō					
菖	艸 	chāng					
黹	黹 	zhĭ xiàn					
搢	手 	jìn					
猻	犬 	sūn					
狲	犬 	sūn					
嘏	口 	gŭ jiă					
铥	金 	diū					
銩	金 	diōu					
涝	水 	lào láo					
澇	水 	lào láo					
篋	竹 	qiè					
箧	竹 	qiè					
哙	口 	kuài					
噲	口 	kuài					
廩	广 	lĭn					
爇	火 	ruò rè					
穭	禾 	lܳ					
騮	馬 	liú					
骝	馬 	liú					
蘴	艸 	fēng					
虀	艸 	jī					
靆	雨 	dài					
呶	口 	náo					
柝	木 	tuò					
桁	木 	háng hàng héng					
剀	刀 	kăi					
剴	刀 	kăi					
楫	木 	jí					
麂	鹿 	jĭ					
誚	言 	qiào					
诮	言 	qiào					
噙	口 	qín					
懑	心 	mèn					
懣	心 	mèn					
鶉	鳥 	chún tuán					
鹑	鳥 	chún tuán					
籣	竹 	lán					
宄	宀 	guĭ					
扞	手 	hàn găn					
拊	手 	fŭ					
悁	心 	yuān juàn					
茖	艸 	gé gè					
琠	玉 	diăn					
菻	艸 	lĭn má					
慉	心 	xù					
暌	日 	kuí					
溱	水 	zhēn qín					
墁	土 	màn					
蒡	艸 	páng bàng					
愦	心 	kuì					
憒	心 	kuì					
繇	糸 	zhòu yāo yóu yáo					
霙	雨 	yīng					
鬈	髟 	quán					
鐶	金 	huán					
怫	心 	fú					
芾	艸 	fèi fù fú					
晁	日 	cháo					
埚	土 	guō					
堝	土 	guō					
嗥	口 	háo					
搽	手 	chá					
訾	言 	zĭ cī zī					
嫘	女 	léi					
榦	木 	gàn gān					
緇	糸 	zī					
缁	糸 	zī					
撢	手 	dăn tàn					
蟯	虫 	ráo náo rào					
蛲	虫 	ráo					
镞	金 	zú					
鏃	金 	zú chuò					
礬	石 	fán					
矾	石 	fán					
价	人 	jiè jià jie					
拫	手 	hén					
昵	日 	nì nĭ zhì					
虼	虫 	gè					
訇	言 	hōng jùn hēng					
茠	艸 	xiū hāo					
匦	匚 	guĭ					
匭	匚 	guĭ					
崃	山 	lái					
崍	山 	lái					
詈	言 	lì					
睚	目 	yái yá					
絿	糸 	qiú					
嘓	口 	guo					
墘	土 	qí					
礱	石 	lóng					
砻	石 	lóng					
鶺	鳥 	jí					
蓠	艸 	lí					
蘺	艸 	lí					
鲟	魚 	xún					
鱘	魚 	xún					
徇	彳 	xùn xún xùn					
赳	走 	jiŭ jiū jiù					
氬	气 	yà					
氩	气 	yà					
蚬	虫 	xiàn xiăn					
蜆	虫 	xiàn xiăn					
勰	力 	xié					
潍	水 	wéi					
濰	水 	wéi					
瞽	目 	gŭ					
夬	大 	guài					
圮	土 	pĭ					
佪	人 	huái					
挶	手 	jú					
栳	木 	lăo					
珥	玉 	ĕr					
茈	艸 	zĭ chái cí cĭ					
陟	阜 	zhì dé					
硅	石 	huò guī hè					
袤	衣 	mào móu					
隉	阜 	niè					
偻	人 	lyu lóu					
僂	人 	lyŭ lóu					
撋	手 	ruán nuó					
撟	手 	jiăo					
挢	手 	jiăo					
潚	水 	xiāo					
畾	田 	léi					
禢	示 	tā					
鋘	金 	wú huá					
餔	食 	bū bŭ					
懆	心 	căo					
歔	欠 	xū					
錸	金 	lái					
铼	金 	lái					
濔	水 	mĭ mí nĭ					
鎩	金 	shā shì sè					
铩	金 	shā					
蘢	艸 	lóng lŏng lòng					
茏	艸 	lóng					
躕	足 	chú					
躦	足 	zuān cuó					
伋	人 	jí					
迆	辵 	yĭ yí					
坩	土 	gān					
杼	木 	zhù shù					
肫	肉 	zhūn chún tún zhuō					
腌	肉 	ān ā yān					
飧	食 	sūn					
嗉	口 	sù					
溴	水 	xiù					
豢	豕 	huàn					
嗾	口 	sŏu					
鄞	邑 	yín					
渑	水 	mĭn miăn shéng					
澠	水 	mĭn shéng miăn					
屦	尸 	jù					
屨	尸 	jù					
刓	刀 	wán					
礽	示 	réng					
泝	水 	sù					
矻	石 	kù kū wù					
庥	广 	xiū					
恛	心 	huí					
胜	肉 	shèng shēng					
砣	石 	tuó					
罝	网 	jū jiē					
啎	口 	wŭ					
椽	木 	chuán					
誆	言 	kuāng kuáng kuàng					
诓	言 	kuāng kuáng kuàng					
鉎	金 	shēng					
鳧	鳥 	fú					
漎	水 	cóng sŏng					
蓷	艸 	tuī					
鋐	金 	hóng					
嬡	女 	ài					
嫒	女 	ài					
燔	火 	fán fén					
篝	竹 	gōu					
遹	辵 	yù					
醡	酉 	zhà					
駸	馬 	qīn					
擼	手 	lŭ					
罴	网 	pí					
羆	网 	pí					
藿	艸 	huò hé					
襦	衣 	rú					
譭	言 	huĭ					
娈	女 	luán liàn					
孌	女 	luán liàn					
顳	頁 	niè					
颞	頁 	niè					
沆	水 	háng hàng kàng					
玨	玉 	jué					
胄	肉 	zhòu					
屝	尸 	fèi					
琊	玉 	yé yá					
蛐	虫 	qū					
嵯	山 	cuó cī					
溧	水 	lì					
篌	竹 	hóu					
鴃	鳥 	jué					
澴	水 	huán					
齧	齒 	niè					
踬	足 	zhì					
躓	足 	zhì zhī					
鱖	魚 	jué guì					
鳜	魚 	jué guì					
毌	毋 	guàn					
伈	人 	xĭn					
辿	辵 	chān					
泮	水 	pàn					
洙	水 	zhū					
埇	土 	yŏng					
崟	山 	yín					
梠	木 	lܳ					
椑	木 	bēi pí pì					
渧	水 	dì					
粨	米 	băi					
酡	酉 	tuó					
饫	食 	yù					
飫	食 	yù					
伛	人 	yŭ					
傴	人 	yŭ					
埙	土 	xūn xuān					
塤	土 	xūn xuān					
椷	木 	jiān hán					
蔇	艸 	jì xì					
荥	艸 	yíng					
滎	水 	yíng xíng yīng					
漰	水 	pēng					
蓽	艸 	bì					
荜	艸 	bì					
鋯	金 	gào					
锆	金 	gào					
頞	頁 	è					
螽	虫 	zhōng					
繲	糸 	jiè					
翽	羽 	huì					
蘅	艸 	héng					
镔	金 	bīn					
鑌	金 	bīn					
鬻	鬲 	yù zhōu zhŭ zhù jū					
讙	言 	huān xuān					
叻	口 	lè					
妯	女 	zhóu zhú					
洧	水 	wĕi wu					
纡	糸 	yū yŭ					
紆	糸 	yū yŭ ōu					
唁	口 	yàn					
秣	禾 	mò					
啗	口 	dàn					
陴	阜 	pí bì					
犄	牛 	jī yī					
铍	金 	pī pí					
鈹	金 	pī pí					
鳔	魚 	biào					
鰾	魚 	biào					
鹳	鳥 	guàn					
鸛	鳥 	guàn huān quán					
乂	丿 	yì					
亓	二 	qí					
佉	人 	qū					
呺	口 	xiāo háo					
杻	木 	chŏu niŭ					
郇	邑 	xún huán					
栟	木 	bīng bēn					
狴	犬 	bì					
傣	人 	dăi					
喌	口 	zhōu					
寍	宀 	níng nìng					
掱	手 	shŏu pá					
睊	目 	juàn					
菑	艸 	zī zāi zì					
揅	手 	yán					
楸	木 	qiū					
鄖	邑 	yún					
郧	邑 	yún					
僦	人 	jiù					
嘂	口 	jiào					
摞	手 	luó luò					
瑱	玉 	zhèn tiàn					
禕	示 	yī					
緡	糸 	mín mĭn mián hún					
缗	糸 	mín					
醅	酉 	pēi					
頦	頁 	hái kē ké					
颏	頁 	hái kē ké					
憖	心 	yìn					
擖	手 	gĕ yè					
痫	疒 	xián					
癇	疒 	xián					
縻	糸 	mí					
簟	竹 	diàn					
馐	食 	xiū					
饈	食 	xiū					
麚	鹿 	jiā					
酆	邑 	fēng					
孛	子 	bèi bó					
玳	玉 	dài					
敉	攴 	mĭ					
蛉	虫 	líng					
堠	土 	hòu					
菴	艸 	ān ăn					
詨	言 	jiāo					
僖	人 	xī					
僎	人 	zhuàn					
跼	足 	jú					
酴	酉 	tú					
牖	片 	yŏu					
檄	木 	xí					
褽	衣 	wèi					
豳	豕 	bīn					
轔	車 	lín lìn					
辚	車 	lín lìn					
饉	食 	jĭn					
馑	食 	jĭn					
臚	肉 	lú lܳ					
胪	肉 	lú					
譫	言 	zhān					
谵	言 	zhān					
邠	邑 	bīn					
劼	力 	jié					
坫	土 	diàn					
枒	木 	yá yā					
沺	水 	tián					
洏	水 	ér					
砅	石 	lì					
宬	宀 	chéng					
荍	艸 	shōu qiáo					
衭	衣 	fū					
淝	水 	féi					
酖	酉 	dān zhèn					
兟	儿 	shēn					
覘	見 	zhān chān dān jī					
觇	見 	zhān chān					
塏	土 	kăi					
垲	土 	kăi					
廆	广 	huì guī wĕi					
搷	手 	tián shēn					
綀	糸 	shū					
遉	辵 	zhēn zhēng					
鄐	邑 	chù					
唛	口 	mà					
嘜	口 	mà					
朅	曰 	qiè					
牓	片 	băng					
綮	糸 	qĭ qìng					
嬗	女 	shàn					
徼	彳 	jiào jiāo jiăo yáo yāo					
薌	艸 	xiāng xiăng					
芗	艸 	xiāng xiăng					
摈	手 	bìn					
擯	手 	bìn					
柽	木 	jué chēng					
檉	木 	chēng					
鵜	鳥 	tí tī					
鹈	鳥 	tí					
櫟	木 	lì láo yuè					
栎	木 	lì láo yuè					
譔	言 	zhuàn					
鯗	魚 	xiăng					
鯕	魚 	qí					
瀼	水 	ráng ràng					
韡	韋 	wĕi					
疽	疒 	jū jŭ					
愀	心 	qiăo					
筮	竹 	shì					
铆	金 	liŭ măo					
鉚	金 	liŭ măo					
髡	髟 	kūn					
瑭	玉 	táng					
怃	心 	wŭ					
憮	心 	wŭ					
槨	木 	guŏ					
誶	言 	suì					
谇	言 	suì					
锑	金 	tì tī					
銻	金 	tì tī tí					
麸	麥 	fū					
麩	麥 	fū					
橾	木 	shū					
鼯	鼠 	wú					
鶸	鳥 	ruò					
囌	口 	sū					
滦	水 	luán					
灤	水 	luán					
鑷	金 	niè					
镊	金 	niè					
杌	木 	wù					
戋	戈 	jiān					
戔	戈 	jiān					
